sequence_id,source_video_id,subject_id,label,class,split
P000S00G10B10H10UC022000LC021000A008R0_08241716_f00000_f00089,P000S00G10B10H10UC022000LC021000A008R0_08241716,P000,0,applaud,validation
P000S00G10B10H10UC022000LC021000A008R0_08241716_f00030_f00119,P000S00G10B10H10UC022000LC021000A008R0_08241716,P000,0,applaud,validation
P000S00G10B10H10UC022000LC021000A008R0_08241716_f00060_f00149,P000S00G10B10H10UC022000LC021000A008R0_08241716,P000,0,applaud,validation
P000S00G10B10H10UC022000LC021000A008R0_08241716_f00090_f00179,P000S00G10B10H10UC022000LC021000A008R0_08241716,P000,0,applaud,validation
P000S00G10B10H10UC022000LC021000A008R0_08241716_f00120_f00209,P000S00G10B10H10UC022000LC021000A008R0_08241716,P000,0,applaud,validation
P000S00G10B10H10UC022000LC021000A008R0_08241716_f00150_f00239,P000S00G10B10H10UC022000LC021000A008R0_08241716,P000,0,applaud,validation
P000S00G10B10H10UC022000LC021000A008R0_08241716_f00152_f00241,P000S00G10B10H10UC022000LC021000A008R0_08241716,P000,0,applaud,validation
P000S00G10B10H10UC022000LC021000A008R1_08241716_f00000_f00089,P000S00G10B10H10UC022000LC021000A008R1_08241716,P000,0,applaud,validation
P000S00G10B10H10UC022000LC021000A008R1_08241716_f00030_f00119,P000S00G10B10H10UC022000LC021000A008R1_08241716,P000,0,applaud,validation
P000S00G10B10H10UC022000LC021000A008R1_08241716_f00060_f00149,P000S00G10B10H10UC022000LC021000A008R1_08241716,P000,0,applaud,validation
P000S00G10B10H10UC022000LC021000A008R1_08241716_f00090_f00179,P000S00G10B10H10UC022000LC021000A008R1_08241716,P000,0,applaud,validation
P000S00G10B10H10UC022000LC021000A008R1_08241716_f00120_f00209,P000S00G10B10H10UC022000LC021000A008R1_08241716,P000,0,applaud,validation
P000S00G10B10H10UC022000LC021000A008R1_08241716_f00150_f00239,P000S00G10B10H10UC022000LC021000A008R1_08241716,P000,0,applaud,validation
P000S00G10B10H10UC022000LC021000A008R1_08241716_f00180_f00269,P000S00G10B10H10UC022000LC021000A008R1_08241716,P000,0,applaud,validation
P000S00G10B10H10UC022000LC021000A008R1_08241716_f00210_f00299,P000S00G10B10H10UC022000LC021000A008R1_08241716,P000,0,applaud,validation
P000S01G10B10H50UC022000LC021000A008R0_08251609_f00000_f00089,P000S01G10B10H50UC022000LC021000A008R0_08251609,P000,0,applaud,validation
P000S01G10B10H50UC022000LC021000A008R0_08251609_f00030_f00119,P000S01G10B10H50UC022000LC021000A008R0_08251609,P000,0,applaud,validation
P000S01G10B10H50UC022000LC021000A008R0_08251609_f00060_f00149,P000S01G10B10H50UC022000LC021000A008R0_08251609,P000,0,applaud,validation
P000S01G10B10H50UC022000LC021000A008R0_08251609_f00090_f00179,P000S01G10B10H50UC022000LC021000A008R0_08251609,P000,0,applaud,validation
